name,size,avg throughput,avg time,stdev time,cv
update_sequential,1073741824,22.3771,3.83872e+08,8.0932e+07,0.210831
update_parallel_simd,1073741824,27.7062,3.10037e+08,837817,0.00270232
update_parallel_nested_loop,1073741824,5.17464,1.66001e+09,1.27374e+08,0.0767311
between_iter_sequential,1073741824,3.60261,2.38437e+09,3.45346e+07,0.0144838
between_iter_twoloops,1073741824,15.1764,5.66008e+08,1.14348e+07,0.0202026
between_iter_optimal,1073741824,69.4383,1.23706e+08,143884,0.00116311
between_iter_manual_split,1073741824,68.9361,1.24607e+08,2.73361e+06,0.0219378
between_iter_task,1073741824,14.9532,5.74453e+08,6.64331e+06,0.0115646
