name,size,avg throughput,avg time,stdev time,cv
benchReduceIterator,1073741824,21.3008,2.01634e+08,71121.4,0.000352724
benchReduceRange,1073741824,21.2833,2.018e+08,177035,0.000877277
benchReduceStl,1073741824,9.53367e+07,45.0505,4.99974,0.110981
benchReduceSimdStl,1073741824,63.8867,6.72279e+07,29920.4,0.000445059
benchReduceSimdOmpIterator,1073741824,21.3035,2.01608e+08,52981.6,0.000262795
benchReduceSimdOmpRange,1073741824,21.2925,2.01713e+08,68583.3,0.000340005
benchReduceSimdXHorizontal,1073741824,170.415,2.52031e+07,16477.9,0.000653804
benchReduceSimdXVertical,1073741824,21.2887,2.01749e+08,173519,0.000860073
benchReduceSimdXAlign,1073741824,170.446,2.51984e+07,12843.9,0.000509713
