name,size,avg throughput,avg time,stdev time,cv
benchReduceIterator,1073741824,16.147,2.65991e+08,2.32417e+06,0.00873776
benchReduceRange,1073741824,16.0695,2.67275e+08,2.82994e+06,0.0105881
benchReduceStl,1073741824,9.92064,4.32932e+08,437952,0.00101159
benchReduceSimdStl,1073741824,16.3019,2.63464e+08,176060,0.000668252
benchReduceSimdOmpIterator,1073741824,16.312,2.63302e+08,239746,0.000910536
benchReduceSimdOmpRange,1073741824,16.2371,2.64515e+08,2.13353e+06,0.00806582
benchReduceSimdXHorizontal,1073741824,12.7512,3.36828e+08,266486,0.000791163
benchReduceSimdXVertical,1073741824,19.8758,2.1609e+08,3.75393e+06,0.017372
benchReduceSimdXAlign,1073741824,12.6847,3.38595e+08,246539,0.000728124
