name,size,avg throughput,avg time,stdev time,cv
transform_ops_value,1073741824,53.4983,2.40847e+08,2.00322e+06,0.0083174
transform_functor_value,1073741824,143.113,9.00329e+07,876009,0.00972988
transform_lambda_value,1073741824,143.346,8.98867e+07,1.34162e+06,0.0149256
transform_lambda_index,1073741824,142.835,9.02083e+07,1.13011e+06,0.0125278
transform_lambda_bad_init,1073741824,59.9995,2.1475e+08,4.68695e+07,0.218251
transform_lambda_no_abstraction,1073741824,120.187,1.07208e+08,3.12083e+06,0.0291102
transform_mandelbrot_fixed,1073741824,1757.45,3.95133e+06,2850.72,0.000721457
transform_mandelbrot,1073741824,335.906,8.46624e+08,3.44755e+06,0.00407212
