name,size,avg throughput,avg time,stdev time,cv
transform_ops_value,1073741824,53.594,2.40417e+08,1.2056e+06,0.00501463
transform_functor_value,1073741824,143.87,8.95591e+07,163390,0.00182438
transform_lambda_value,1073741824,143.789,8.96098e+07,505902,0.00564561
transform_lambda_index,1073741824,143.753,8.96322e+07,696253,0.00776789
transform_lambda_bad_init,1073741824,49.479,2.60411e+08,4.53703e+07,0.174226
transform_lambda_no_abstraction,1073741824,110.667,1.1643e+08,2.6768e+06,0.0229907
transform_mandelbrot_fixed,1073741824,1763.44,3.93792e+06,768642,0.19519
transform_mandelbrot,1073741824,305.243,9.31673e+08,1.15629e+06,0.00124109
