name,size,avg throughput,avg time,stdev time,cv
Map_AoS_scalar_scalar,536870912,96.2691,8.92283e+07,180890,0.00202727
Map_AoS_complex_complex,536870912,42.3006,4.06138e+08,1.60543e+08,0.395293
Map_AoS_aos_nn_flat,536870912,96.1469,2.68025e+08,194467,0.000725553
Map_AoS_aos_nm_flat_spantmp,536870912,82.8907,3.62704e+08,7.1156e+06,0.0196182
Map_AoS_aos_tuple_tuple,536870912,46.4786,5.54444e+08,2.56814e+08,0.463192
Map_AoS_aos_tuple_pair,536870912,44.4334,5.79964e+08,2.41594e+08,0.416568
Map_SoA_soa_zip_tuple_tuple,536870912,113.632,2.26782e+08,214203,0.000944532
Map_SoA_soa_zip_nm_spantmp,536870912,72.4602,4.14914e+08,3.64838e+06,0.0087931
Map_SoA_soa_explicit_nm_flat_spantmp,536870912,90.8704,3.30853e+08,8.01239e+06,0.0242174
