name,size,avg throughput,avg time,stdev time,cv
Map_AoS_scalar_scalar,536870912,96.0118,8.94675e+07,169612,0.00189579
Map_AoS_complex_complex,536870912,48.8047,3.52013e+08,1.62357e+08,0.461224
Map_AoS_aos_nn_flat,536870912,95.9015,2.68711e+08,2.15879e+06,0.00803389
Map_AoS_aos_nm_flat_spantmp,536870912,80.7506,3.72317e+08,2.00869e+06,0.00539511
Map_AoS_aos_tuple_tuple,536870912,42.3377,6.08673e+08,2.78962e+08,0.458312
Map_AoS_aos_tuple_pair,536870912,45.1472,5.70796e+08,2.42973e+08,0.425673
Map_SoA_soa_zip_tuple_tuple,536870912,113.489,2.27069e+08,548950,0.00241755
Map_SoA_soa_zip_nm_spantmp,536870912,72.7072,4.13505e+08,3.39329e+06,0.00820618
Map_SoA_soa_explicit_nm_flat_spantmp,536870912,91.506,3.28555e+08,1.20488e+06,0.0036672
